marketcap,volume,timestamp,name,symbol,slug
6560398745.044624,1824043747.4553757,,,,ethereum
6326713209.311877,429662554.19584274,,,,ethereum
6053677775.58322,195865005.99694893,,,,ethereum
5841901499.814023,814644975.7455525,,,,ethereum
5785938092.49432,109860848.41000652,,,,ethereum
5778597317.645634,381411872.21600175,,,,ethereum
5347940314.424069,350275910.0211909,,,,ethereum
5181326299.520671,321177467.6369935,,,,ethereum
5153007396.035365,1494294864.9598,,,,ethereum
5121863195.881598,57036181.89378007,,,,ethereum
5046500043.67912,369080485.4762549,,,,ethereum
4705609904.489036,517819451.17503875,,,,ethereum
4701629564.653018,2061048149.9521098,,,,ethereum
4590998446.694672,1532881520.3008559,,,,ethereum
4532788018.462711,109003356.50906597,,,,ethereum
4453050994.498135,241364936.96907362,,,,ethereum
4153552894.102049,1222795168.714254,,,,ethereum
4118501658.564442,108138542.91188186,,,,ethereum
3954244776.1947217,224369101.7244379,,,,ethereum
3691318615.4351854,192131317.27543086,,,,ethereum
3595176373.231509,358293858.06693363,,,,ethereum
3548735384.943502,953141249.4492608,,,,ethereum
3347286698.9067793,204708925.18957132,,,,ethereum
3189684718.6183667,73418297.50651774,,,,ethereum
3148426297.6259775,184457450.47044328,,,,ethereum
3073958017.946327,1939407.275924,,,,ethereum
2812561356.805537,36269120.44606295,,,,ethereum
2669994948.930002,346664697.4521099,,,,ethereum
2643814405.6530614,425419150.411839,,,,ethereum
2582067473.1871514,180651425.22739786,,,,ethereum
2532737267.4481664,1422093278.6643248,,,,ethereum
2355028238.4830484,312317323.1136952,,,,ethereum
2354298069.3445854,260894594.17577997,,,,ethereum
2272624498.671368,242096019.77494293,,,,ethereum
2196327114.651496,9624625.8726399,,,,ethereum
2168713601.9601483,88534643.95885135,,,,ethereum
2124175740.0221038,510689237.1034167,,,,ethereum
2109567674.4398289,423360820.1938019,,,,ethereum
2090033289.1071994,25652803.98708337,,,,ethereum
2075650299.5343904,1006700983.8673933,,,,ethereum
2053682587.902881,48435278.42642944,,,,ethereum
2013784516.5691607,98155250.30479318,,,,ethereum
2017918077.6118815,365181640.49238706,,,,ethereum
2013454785.5708244,112300622.48873642,,,,ethereum
2009731829.690883,515123665.67111856,,,,ethereum
1997149542.5552592,163937501.63919982,,,,ethereum
1995704505.5345712,1883842471.7953923,,,,ethereum
1957680299.0671782,29158447.26460592,,,,ethereum
1869245661.2929752,64436358.19761897,,,,ethereum
1870105879.456251,179687593.24017966,,,,ethereum
1796823825.5853941,164491883.3511294,,,,ethereum
1764870593.6422102,7445105.04611538,,,,ethereum
1707077038.286896,136698612.55799255,,,,ethereum
1583696412.9678783,622653371.4203516,,,,ethereum
1544857010.0848784,187010418.34390238,,,,ethereum
1518490756.6762455,36838043.05236209,,,,ethereum
1502535868.080719,92350021.38271292,,,,ethereum
1476109610.3078969,247027659.92627996,,,,ethereum
1462219448.4666328,28317003.31134208,,,,ethereum
1436474505.416981,98164480.47216356,,,,ethereum
1422894000.4517307,176851530.4103087,,,,ethereum
1396440793.7775245,180749740.02517897,,,,ethereum
1291278411.2197065,357442924.7033484,,,,ethereum
1275877286.49501,7454000.79133616,,,,ethereum
1253697767.8109858,94981407.84024212,,,,ethereum
1194809796.0419006,7841530.22743828,,,,ethereum
1181575968.3306777,22557350.94998009,,,,ethereum
1124032250.0829308,128427793.53145401,,,,ethereum
1114998235.3094077,235220278.3197254,,,,ethereum
1091719546.0956903,98445899.1892625,,,,ethereum
1089787140.9041514,164059721.25079295,,,,ethereum
1081711145.3681974,147443034.80255774,,,,ethereum
1040536465.3001064,227034169.6912667,,,,ethereum
1079646009120.7388,61696004735.95695,,,,binance-coin
466934170135.17035,52018751754.36042,,,,binance-coin
101381074272.82687,4392656297.297935,,,,binance-coin
64538730791.89946,27238704823.46822,,,,binance-coin
55795362812.77694,162927017301.84094,,,,binance-coin
55580393492.78384,7075537750.299573,,,,binance-coin
54671183519.00901,8064942441.018638,,,,binance-coin
37117326722.60037,2381851607.164854,,,,binance-coin
27070646550.024002,7375326054.641679,,,,binance-coin
25659995740.74873,11490616263.42628,,,,binance-coin
20975485560.13515,3085866393.110132,,,,binance-coin
20615572057.163265,641758980.2916243,,,,binance-coin
